Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = False
wandb_project = 'owt'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 600000
lr_decay_iters = 600000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: False
compiling the model... (takes a ~minute)
iter 1190: loss 4.4093, time 3598.72ms, time_process 3596.46ms, time_perf 3598.72ms, mfu 36.60%
iter 1200: loss 4.2571, time 3599.51ms, time_process 3595.67ms, time_perf 3599.51ms, mfu 36.68%
iter 1210: loss 4.1197, time 3603.05ms, time_process 3599.67ms, time_perf 3603.06ms, mfu 36.75%
iter 1220: loss 4.1752, time 3600.15ms, time_process 3596.39ms, time_perf 3600.15ms, mfu 36.82%
iter 1230: loss 4.2230, time 3596.49ms, time_process 3592.41ms, time_perf 3596.49ms, mfu 36.88%
iter 1240: loss 4.3355, time 3595.96ms, time_process 3594.01ms, time_perf 3595.96ms, mfu 36.94%
iter 1250: loss 4.2459, time 3598.45ms, time_process 3595.90ms, time_perf 3598.45ms, mfu 36.99%
iter 1260: loss 4.1966, time 3597.65ms, time_process 3593.53ms, time_perf 3597.65ms, mfu 37.03%
iter 1270: loss 4.1908, time 3596.36ms, time_process 3592.74ms, time_perf 3596.36ms, mfu 37.07%
iter 1280: loss 4.2900, time 3597.13ms, time_process 3594.48ms, time_perf 3597.13ms, mfu 37.11%
iter 1290: loss 4.1360, time 3596.71ms, time_process 3590.71ms, time_perf 3596.71ms, mfu 37.14%
iter 1300: loss 4.4785, time 3597.91ms, time_process 3594.72ms, time_perf 3597.91ms, mfu 37.17%
iter 1310: loss 4.0984, time 3597.73ms, time_process 3593.28ms, time_perf 3597.73ms, mfu 37.20%
iter 1320: loss 3.9038, time 3597.93ms, time_process 3597.31ms, time_perf 3597.93ms, mfu 37.22%
iter 1330: loss 4.3625, time 3600.61ms, time_process 3596.71ms, time_perf 3600.61ms, mfu 37.24%
iter 1340: loss 4.2210, time 3595.50ms, time_process 3592.60ms, time_perf 3595.50ms, mfu 37.26%
iter 1350: loss 4.2056, time 3596.85ms, time_process 3593.65ms, time_perf 3596.85ms, mfu 37.28%
iter 1360: loss 3.9380, time 3600.61ms, time_process 3597.45ms, time_perf 3600.61ms, mfu 37.29%
iter 1370: loss 4.0436, time 3602.31ms, time_process 3599.85ms, time_perf 3602.31ms, mfu 37.30%
iter 1380: loss 4.0406, time 3600.07ms, time_process 3597.20ms, time_perf 3600.07ms, mfu 37.31%
iter 1390: loss 3.9313, time 3598.99ms, time_process 3594.49ms, time_perf 3598.99ms, mfu 37.32%
iter 1400: loss 4.0282, time 3597.70ms, time_process 3596.32ms, time_perf 3597.70ms, mfu 37.33%
iter 1410: loss 3.9248, time 3598.29ms, time_process 3596.42ms, time_perf 3598.29ms, mfu 37.34%
iter 1420: loss 4.1393, time 3596.10ms, time_process 3593.45ms, time_perf 3596.10ms, mfu 37.35%
iter 1430: loss 4.0249, time 3595.37ms, time_process 3594.03ms, time_perf 3595.37ms, mfu 37.36%
iter 1440: loss 3.8685, time 3597.95ms, time_process 3595.05ms, time_perf 3597.95ms, mfu 37.37%
iter 1450: loss 4.0000, time 3594.97ms, time_process 3591.93ms, time_perf 3594.97ms, mfu 37.38%
iter 1460: loss 3.9090, time 3598.07ms, time_process 3597.15ms, time_perf 3598.07ms, mfu 37.38%
iter 1470: loss 4.1592, time 3598.48ms, time_process 3595.69ms, time_perf 3598.48ms, mfu 37.39%
iter 1480: loss 4.0135, time 3598.51ms, time_process 3596.38ms, time_perf 3598.51ms, mfu 37.39%
iter 1490: loss 3.9719, time 3595.81ms, time_process 3593.27ms, time_perf 3595.81ms, mfu 37.39%
iter 1500: loss 4.1753, time 3596.98ms, time_process 3594.59ms, time_perf 3596.98ms, mfu 37.40%
iter 1510: loss 4.0910, time 3599.48ms, time_process 3597.25ms, time_perf 3599.48ms, mfu 37.40%
iter 1520: loss 3.8631, time 3596.27ms, time_process 3595.71ms, time_perf 3596.27ms, mfu 37.40%
iter 1530: loss 4.0779, time 3598.13ms, time_process 3596.39ms, time_perf 3598.13ms, mfu 37.41%
iter 1540: loss 4.0475, time 3599.80ms, time_process 3597.15ms, time_perf 3599.80ms, mfu 37.41%
iter 1550: loss 4.1362, time 3594.24ms, time_process 3592.62ms, time_perf 3594.24ms, mfu 37.41%
iter 1560: loss 4.0297, time 3591.81ms, time_process 3591.08ms, time_perf 3591.81ms, mfu 37.42%
iter 1570: loss 3.8729, time 3597.28ms, time_process 3597.35ms, time_perf 3597.28ms, mfu 37.42%
iter 1580: loss 3.9783, time 3595.49ms, time_process 3594.31ms, time_perf 3595.49ms, mfu 37.42%
