Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = False
wandb_project = 'owt'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 600000
lr_decay_iters = 600000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
Using AdamW+
compiling the model... (takes a ~minute)
iter 590: loss 5.4415, time 2988.10ms, time_process 2988.85ms, time_perf 2988.10ms, mfu 45.12%
iter 600: loss 5.2902, time 2990.70ms, time_process 2991.46ms, time_perf 2990.70ms, mfu 45.11%
iter 610: loss 5.2924, time 2987.57ms, time_process 2988.34ms, time_perf 2987.57ms, mfu 45.10%
iter 620: loss 5.2100, time 2989.07ms, time_process 2989.67ms, time_perf 2989.07ms, mfu 45.10%
iter 630: loss 5.3166, time 2991.56ms, time_process 2992.27ms, time_perf 2991.56ms, mfu 45.09%
iter 640: loss 5.2834, time 2985.70ms, time_process 2986.49ms, time_perf 2985.71ms, mfu 45.09%
iter 650: loss 5.0610, time 2993.89ms, time_process 2994.67ms, time_perf 2993.89ms, mfu 45.08%
iter 660: loss 4.9811, time 2993.40ms, time_process 2994.21ms, time_perf 2993.40ms, mfu 45.07%
iter 670: loss 5.2834, time 2992.32ms, time_process 2993.12ms, time_perf 2992.32ms, mfu 45.06%
iter 680: loss 5.2289, time 2993.80ms, time_process 2994.62ms, time_perf 2993.80ms, mfu 45.06%
iter 690: loss 5.1902, time 2992.61ms, time_process 2993.42ms, time_perf 2992.61ms, mfu 45.05%
iter 700: loss 5.2157, time 2992.31ms, time_process 2993.05ms, time_perf 2992.31ms, mfu 45.04%
iter 710: loss 5.0327, time 2990.93ms, time_process 2991.74ms, time_perf 2990.93ms, mfu 45.04%
iter 720: loss 4.7196, time 2990.46ms, time_process 2991.28ms, time_perf 2990.47ms, mfu 45.04%
iter 730: loss 5.0927, time 2997.84ms, time_process 2998.62ms, time_perf 2997.84ms, mfu 45.03%
iter 740: loss 4.8646, time 2994.14ms, time_process 2994.86ms, time_perf 2994.14ms, mfu 45.02%
iter 750: loss 4.8036, time 2995.42ms, time_process 2996.21ms, time_perf 2995.42ms, mfu 45.02%
iter 760: loss 5.1996, time 2988.74ms, time_process 2989.58ms, time_perf 2988.74ms, mfu 45.02%
iter 770: loss 4.8278, time 2997.87ms, time_process 2998.61ms, time_perf 2997.87ms, mfu 45.01%
iter 780: loss 4.7416, time 2995.36ms, time_process 2996.20ms, time_perf 2995.36ms, mfu 45.00%
iter 790: loss 4.8906, time 2996.67ms, time_process 2997.47ms, time_perf 2996.67ms, mfu 45.00%
iter 800: loss 4.8133, time 2995.12ms, time_process 2995.89ms, time_perf 2995.12ms, mfu 44.99%
iter 810: loss 4.9616, time 2992.20ms, time_process 2993.04ms, time_perf 2992.20ms, mfu 45.00%
iter 820: loss 4.8101, time 3001.84ms, time_process 3002.65ms, time_perf 3001.84ms, mfu 44.98%
iter 830: loss 4.7986, time 2996.62ms, time_process 2997.30ms, time_perf 2996.62ms, mfu 44.98%
iter 840: loss 4.8451, time 2998.23ms, time_process 2999.02ms, time_perf 2998.23ms, mfu 44.97%
iter 850: loss 4.8309, time 3000.56ms, time_process 3001.40ms, time_perf 3000.57ms, mfu 44.96%
iter 860: loss 4.6789, time 2999.72ms, time_process 3000.54ms, time_perf 2999.73ms, mfu 44.95%
iter 870: loss 4.6127, time 3002.53ms, time_process 3003.33ms, time_perf 3002.54ms, mfu 44.94%
iter 880: loss 4.8600, time 2996.18ms, time_process 2996.96ms, time_perf 2996.18ms, mfu 44.94%
iter 890: loss 4.7069, time 2999.22ms, time_process 3000.05ms, time_perf 2999.22ms, mfu 44.94%
iter 900: loss 4.7445, time 3001.15ms, time_process 3001.84ms, time_perf 3001.15ms, mfu 44.93%
iter 910: loss 4.5494, time 3002.08ms, time_process 3002.92ms, time_perf 3002.08ms, mfu 44.92%
iter 920: loss 4.5596, time 3003.60ms, time_process 3004.44ms, time_perf 3003.60ms, mfu 44.92%
iter 930: loss 4.4663, time 2998.67ms, time_process 2999.44ms, time_perf 2998.67ms, mfu 44.91%
iter 940: loss 4.7432, time 3001.45ms, time_process 3002.20ms, time_perf 3001.46ms, mfu 44.91%
iter 950: loss 4.6209, time 3003.17ms, time_process 3004.00ms, time_perf 3003.17ms, mfu 44.90%
iter 960: loss 4.4614, time 3002.34ms, time_process 3003.14ms, time_perf 3002.34ms, mfu 44.90%
iter 970: loss 4.3538, time 3002.39ms, time_process 3003.08ms, time_perf 3002.40ms, mfu 44.89%
iter 980: loss 4.5077, time 2997.24ms, time_process 2998.06ms, time_perf 2997.24ms, mfu 44.90%
iter 990: loss 4.6158, time 3002.38ms, time_process 3003.15ms, time_perf 3002.38ms, mfu 44.89%
step 1000: train loss 4.4237, val loss 4.4352
saving checkpoint to out
iter 1000: loss 4.5660, time 19052.27ms, time_process 17469.31ms, time_perf 19052.27ms, mfu 41.11%
iter 1010: loss 4.4285, time 2997.78ms, time_process 2998.70ms, time_perf 2997.78ms, mfu 41.49%
iter 1020: loss 4.5026, time 3003.10ms, time_process 3004.08ms, time_perf 3003.10ms, mfu 41.83%
iter 1030: loss 4.2846, time 3001.05ms, time_process 3002.04ms, time_perf 3001.05ms, mfu 42.13%
iter 1040: loss 4.3882, time 3002.12ms, time_process 3003.09ms, time_perf 3002.12ms, mfu 42.40%
