Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = False
wandb_project = 'owt'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 600000
lr_decay_iters = 600000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
Using AdamW+
compiling the model... (takes a ~minute)
iter 1710: loss 3.8768, time 3713.56ms, time_process 3714.85ms, time_perf 3713.56ms, mfu 36.27%
iter 1720: loss 3.8179, time 3714.66ms, time_process 3715.94ms, time_perf 3714.66ms, mfu 36.26%
iter 1730: loss 3.9502, time 3711.57ms, time_process 3712.86ms, time_perf 3711.57ms, mfu 36.27%
iter 1740: loss 3.9503, time 3713.30ms, time_process 3714.59ms, time_perf 3713.31ms, mfu 36.27%
iter 1750: loss 3.9378, time 3712.61ms, time_process 3713.88ms, time_perf 3712.61ms, mfu 36.27%
iter 1760: loss 3.8689, time 3712.44ms, time_process 3713.69ms, time_perf 3712.44ms, mfu 36.27%
iter 1770: loss 3.8829, time 3714.83ms, time_process 3716.16ms, time_perf 3714.83ms, mfu 36.27%
iter 1780: loss 3.7810, time 3713.96ms, time_process 3715.15ms, time_perf 3713.96ms, mfu 36.26%
iter 1790: loss 3.8199, time 3711.02ms, time_process 3712.30ms, time_perf 3711.02ms, mfu 36.27%
iter 1800: loss 3.7239, time 3713.48ms, time_process 3714.45ms, time_perf 3713.48ms, mfu 36.27%
iter 1810: loss 3.7886, time 3713.27ms, time_process 3714.29ms, time_perf 3713.27ms, mfu 36.27%
iter 1820: loss 3.8051, time 3715.09ms, time_process 3716.06ms, time_perf 3715.09ms, mfu 36.26%
iter 1830: loss 3.9720, time 3713.44ms, time_process 3714.43ms, time_perf 3713.44ms, mfu 36.26%
iter 1840: loss 3.9948, time 3712.51ms, time_process 3713.59ms, time_perf 3712.51ms, mfu 36.26%
iter 1850: loss 3.8455, time 3711.93ms, time_process 3713.25ms, time_perf 3711.93ms, mfu 36.27%
iter 1860: loss 3.9220, time 3715.08ms, time_process 3716.24ms, time_perf 3715.08ms, mfu 36.26%
iter 1870: loss 3.6196, time 3711.72ms, time_process 3712.80ms, time_perf 3711.72ms, mfu 36.27%
iter 1880: loss 3.6434, time 3712.96ms, time_process 3714.21ms, time_perf 3712.96ms, mfu 36.27%
iter 1890: loss 3.8079, time 3713.23ms, time_process 3714.50ms, time_perf 3713.23ms, mfu 36.27%
iter 1900: loss 3.9016, time 3713.60ms, time_process 3714.82ms, time_perf 3713.60ms, mfu 36.27%
iter 1910: loss 3.7244, time 3713.70ms, time_process 3715.00ms, time_perf 3713.70ms, mfu 36.26%
iter 1920: loss 3.6279, time 3711.67ms, time_process 3712.85ms, time_perf 3711.67ms, mfu 36.27%
iter 1930: loss 3.6377, time 3712.30ms, time_process 3713.60ms, time_perf 3712.30ms, mfu 36.27%
iter 1940: loss 3.8338, time 3712.59ms, time_process 3713.84ms, time_perf 3712.59ms, mfu 36.27%
iter 1950: loss 3.8009, time 3714.22ms, time_process 3715.46ms, time_perf 3714.22ms, mfu 36.27%
iter 1960: loss 3.9083, time 3715.02ms, time_process 3716.24ms, time_perf 3715.02ms, mfu 36.26%
iter 1970: loss 3.6323, time 3713.37ms, time_process 3714.63ms, time_perf 3713.37ms, mfu 36.26%
iter 1980: loss 3.7928, time 3714.54ms, time_process 3715.82ms, time_perf 3714.54ms, mfu 36.26%
iter 1990: loss 3.6732, time 3713.46ms, time_process 3714.78ms, time_perf 3713.46ms, mfu 36.26%
step 2000: train loss 3.7718, val loss 3.7618
saving checkpoint to out
iter 2000: loss 3.8376, time 20572.37ms, time_process 18961.88ms, time_perf 20572.37ms, mfu 33.29%
iter 2010: loss 3.8244, time 3710.31ms, time_process 3711.48ms, time_perf 3710.31ms, mfu 33.59%
iter 2020: loss 3.7403, time 3711.76ms, time_process 3712.99ms, time_perf 3711.76ms, mfu 33.86%
iter 2030: loss 3.8712, time 3710.91ms, time_process 3712.19ms, time_perf 3710.91ms, mfu 34.10%
iter 2040: loss 3.6776, time 3713.63ms, time_process 3714.95ms, time_perf 3713.63ms, mfu 34.32%
iter 2050: loss 3.8652, time 3712.47ms, time_process 3713.57ms, time_perf 3712.47ms, mfu 34.51%
iter 2060: loss 3.4583, time 3712.33ms, time_process 3713.60ms, time_perf 3712.33ms, mfu 34.69%
iter 2070: loss 3.7953, time 3713.86ms, time_process 3715.12ms, time_perf 3713.86ms, mfu 34.85%
iter 2080: loss 3.7639, time 3714.78ms, time_process 3716.05ms, time_perf 3714.78ms, mfu 34.99%
iter 2090: loss 3.7066, time 3712.88ms, time_process 3714.12ms, time_perf 3712.88ms, mfu 35.12%
iter 2100: loss 3.8406, time 3714.70ms, time_process 3715.91ms, time_perf 3714.70ms, mfu 35.23%
iter 2110: loss 3.7149, time 3712.83ms, time_process 3714.07ms, time_perf 3712.83ms, mfu 35.33%
iter 2120: loss 3.5393, time 3713.24ms, time_process 3714.46ms, time_perf 3713.24ms, mfu 35.43%
iter 2130: loss 3.8118, time 3713.51ms, time_process 3714.65ms, time_perf 3713.51ms, mfu 35.51%
iter 2140: loss 3.6477, time 3714.40ms, time_process 3715.80ms, time_perf 3714.40ms, mfu 35.58%
iter 2150: loss 3.6799, time 3714.55ms, time_process 3715.82ms, time_perf 3714.55ms, mfu 35.65%
iter 2160: loss 3.6101, time 3715.05ms, time_process 3716.26ms, time_perf 3715.05ms, mfu 35.71%
iter 2170: loss 3.6103, time 3715.67ms, time_process 3716.79ms, time_perf 3715.67ms, mfu 35.76%
iter 2180: loss 3.8072, time 3714.96ms, time_process 3716.38ms, time_perf 3714.96ms, mfu 35.81%
iter 2190: loss 3.6564, time 3715.81ms, time_process 3717.12ms, time_perf 3715.81ms, mfu 35.85%
iter 2200: loss 3.6134, time 3714.88ms, time_process 3716.11ms, time_perf 3714.88ms, mfu 35.89%
iter 2210: loss 3.6783, time 3715.10ms, time_process 3716.48ms, time_perf 3715.10ms, mfu 35.93%
iter 2220: loss 3.6239, time 3712.71ms, time_process 3714.04ms, time_perf 3712.71ms, mfu 35.96%
iter 2230: loss 3.7963, time 3716.31ms, time_process 3717.61ms, time_perf 3716.31ms, mfu 35.99%
iter 2240: loss 3.8151, time 3715.27ms, time_process 3716.56ms, time_perf 3715.27ms, mfu 36.02%
iter 2250: loss 3.7032, time 3714.68ms, time_process 3715.99ms, time_perf 3714.68ms, mfu 36.04%
iter 2260: loss 3.7930, time 3713.89ms, time_process 3715.18ms, time_perf 3713.89ms, mfu 36.06%
